id,isbn,title,author,price,yearOfPublish,quantity,quantityAvail,filePath,description
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
3,9780743273565,The Great Gatsby,F. Scott Fitzgerald,1200,1925,50,50,https://example.com/gatsby.jpg,"A classic American novel set in the 1920s, telling the tragic story of millionaire Jay Gatsby and his obsession with the wealthy Daisy Buchanan."
4,9780552169351,The Martian,Andy Weir,9000,2011,80,80,https://example.com/themartian.jpg,"A science fiction novel about an astronaut stranded alone on Mars who must use his ingenuity and resourcefulness to survive."
5,9780307947390,Gone Girl,Gillian Flynn,9000,2012,60,60,https://example.com/gonegirl.jpg,"A psychological thriller novel about a woman who goes missing and the suspicions surrounding her husband."
6,9780062316097,The Kite Runner,Khaled Hosseini,1000,2003,55,55,https://example.com/kiterunner.jpg,"A novel set in Afghanistan, following the story of a young boy named Amir and the lasting impact of a childhood betrayal."
7,9780062455772,Educated,Tara Westover,13000,2018,45,45,https://example.com/educated.jpg,"A memoir about a woman's journey from growing up in a survivalist family in the mountains of Idaho to eventually earning a PhD from Cambridge University."
1,9780345391193,The Lord of the Rings,Tolkien,15000,2024,20,20,https://example.com/lotr.jpg,"Epic high fantasy novel following the journey of Frodo Baggins and his companions as they attempt to destroy an powerful ring and defeat the dark lord Sauron."
2,9780439708184,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8000,1997,75,75,https://example.com/hp1.jpg,"The first book in the Harry Potter series, introducing the young wizard Harry Potter and his adventures at Hogwarts School of Witchcraft and Wizardry."
